Fur,Size,Shape,Ears,Tail,Vocal,Behavior,Legs,Eyes,Habitat,Class
-0.98,0.17,0.49,-1.4,-0.52,-0.37,0.27,-0.26,0.45,0.1,dog
0.91,0.54,-2.47,-0.02,0.65,-0.66,-0.86,-1.5,-0.41,0.05,cat
-1.0,0.35,0.22,1.0,0.08,-0.21,-0.98,-0.0,-1.28,-1.74,cat
-1.25,0.41,-0.2,1.21,0.81,0.39,-0.46,-2.05,0.04,-1.02,cat
-0.54,1.3,0.11,1.45,0.16,0.6,1.16,-0.44,-0.75,-0.51,dog
-1.85,0.21,-1.61,0.46,-1.45,0.46,0.1,-1.51,0.44,1.03,rabbit
0.96,-0.44,0.19,1.55,-0.41,0.05,-1.32,0.85,0.95,-0.11,dog
0.75,1.49,0.01,-1.49,-0.81,0.75,1.65,-0.86,1.77,-0.61,rabbit
0.07,-0.95,0.75,-0.74,-2.51,-0.79,0.67,-0.49,-1.01,0.05,cat
-1.15,1.0,-0.72,-0.75,0.01,0.14,-1.38,0.68,0.72,1.5,cat
0.49,0.39,1.0,0.99,0.68,-0.63,-1.33,0.93,-0.9,1.76,cat
1.07,-0.21,0.94,1.81,0.14,-1.42,-0.32,0.64,1.22,-1.13,cat
1.82,0.48,1.04,1.46,-0.58,1.12,-0.82,-0.04,0.12,0.86,cat
0.81,0.54,0.23,0.16,0.72,-0.94,-0.43,1.72,-2.18,0.9,cat
-0.66,-0.42,-1.4,0.92,-0.99,1.16,1.61,-0.55,-0.07,0.62,cat
-0.03,0.91,-1.04,0.95,1.43,-0.49,-1.11,0.02,0.57,1.76,cat
1.39,-0.26,0.66,1.64,0.47,1.62,1.82,2.02,-0.16,0.44,rabbit
-0.89,-1.26,0.81,0.07,-0.94,0.43,-0.18,-1.06,-2.67,0.89,rabbit
-0.85,1.73,1.17,-0.61,-0.18,-1.34,-1.75,0.82,0.48,0.24,cat
0.64,-0.5,-0.01,-0.02,-0.77,0.26,0.58,-2.46,-0.8,-0.08,cat
-1.37,0.18,-0.43,-0.2,-0.28,-0.83,-0.11,-0.0,0.15,1.57,dog
-0.82,-0.34,-1.18,0.93,0.55,0.2,-1.75,1.23,0.73,-1.11,cat
-1.44,-1.06,0.88,0.85,-0.16,-1.18,0.01,0.27,2.05,-0.76,cat
-0.35,-2.84,0.97,-0.25,0.74,-0.88,-0.48,0.56,-2.29,-0.6,rabbit
0.75,0.67,1.01,-0.08,-0.22,-0.65,1.37,-0.91,0.48,0.74,dog
-0.54,-2.56,0.95,-1.08,-0.44,-0.25,-1.87,-0.87,-0.8,0.33,rabbit
0.91,0.6,-0.34,1.46,-0.28,0.72,-0.14,0.02,1.31,-0.67,dog
-1.89,-0.12,1.09,0.94,-0.3,0.38,1.32,-0.46,-0.1,-1.53,cat
-0.43,-0.73,0.33,-0.11,0.93,0.21,-0.88,-0.99,1.96,1.23,cat
-0.05,-0.15,0.37,0.46,0.54,-0.15,0.54,0.94,2.1,0.25,dog
0.95,-0.89,0.24,1.08,-0.37,-1.32,0.06,1.59,-0.91,-0.11,cat
0.44,-1.79,1.1,-0.57,-0.89,0.01,0.42,0.15,0.71,-1.07,dog
0.17,0.87,0.19,-1.26,-1.38,-0.74,1.88,0.93,-0.16,1.88,rabbit
-1.59,-0.83,-0.78,0.46,-0.99,-0.77,0.54,0.76,-0.06,-0.95,dog
-0.77,-1.66,-0.99,-0.85,-0.26,0.38,1.17,-0.04,-0.45,-0.07,dog
0.34,-0.22,-1.05,1.41,-1.4,-0.15,0.39,0.52,-0.85,-0.63,dog
-1.86,-1.29,0.09,-1.05,0.76,-0.8,-0.52,0.21,-2.18,-0.32,rabbit
-1.72,0.73,-0.4,-1.47,0.45,3.23,1.37,-0.4,0.76,0.11,rabbit
-2.06,-1.04,-0.91,0.8,0.11,-2.3,1.7,-0.77,0.11,0.13,rabbit
-0.79,1.13,-2.74,0.51,-0.25,-0.46,-0.31,0.47,-0.1,2.38,rabbit
-0.03,-0.71,-0.16,0.72,-2.0,0.21,-0.8,-0.65,1.14,0.3,dog
0.3,1.16,0.25,1.1,-0.17,-0.1,0.8,-0.47,0.4,-1.6,dog
-0.53,-0.48,-0.52,-0.6,0.12,0.1,-1.44,-1.21,-0.63,0.14,dog
0.78,0.92,1.67,-0.15,-0.32,0.05,-0.93,-1.87,0.25,1.33,cat
-1.02,0.57,1.5,-0.58,-1.0,-1.14,1.5,1.67,-0.35,0.54,rabbit
0.58,-0.42,-1.05,-1.59,0.44,-1.88,-1.21,-1.41,0.72,-1.26,rabbit
-0.29,-2.36,-1.13,-0.6,-0.28,1.01,0.35,0.3,-0.1,0.21,cat
-0.67,-0.55,-0.31,-0.91,0.63,-0.5,-1.44,1.61,0.31,0.2,dog
-0.71,-0.16,0.44,-1.24,0.22,0.71,-1.83,0.9,0.03,-1.12,cat
1.2,0.19,-0.38,-0.64,0.42,0.08,-0.34,0.04,-0.62,0.7,dog
-1.13,-2.32,-1.25,1.22,-0.58,-0.44,-1.79,0.27,1.31,0.77,rabbit
0.5,-0.38,1.34,-0.75,0.71,-0.05,1.16,-0.08,0.89,-1.12,dog
0.74,-0.44,-0.83,1.31,-3.03,1.23,-1.69,0.54,-0.53,-1.3,rabbit
0.83,0.84,-0.03,1.13,-0.26,-0.48,-0.37,-2.08,0.78,0.58,cat
0.91,0.16,2.57,-0.44,0.81,0.99,0.84,-2.18,0.68,1.61,rabbit
0.04,0.36,0.34,2.71,-1.64,0.17,1.94,1.91,0.2,-0.77,rabbit
-0.12,0.19,-2.27,-2.91,0.39,-1.17,0.81,-0.96,-1.57,-0.15,rabbit
-0.86,0.07,0.47,-2.54,0.92,-0.87,-0.06,-0.89,-0.05,-0.22,cat
0.28,-0.49,0.6,-0.9,0.39,1.28,-0.4,1.49,-0.13,0.22,dog
-0.82,0.15,-0.31,1.33,-1.08,0.65,0.44,0.02,-0.48,0.56,dog
-1.63,-0.01,0.41,-1.25,-2.36,-0.39,0.61,-0.11,-1.26,0.47,rabbit
-1.58,2.16,-0.81,0.42,-0.56,-1.12,-0.13,0.55,0.42,-0.45,cat
0.59,-0.83,0.73,-0.79,2.29,0.51,0.74,-0.36,-2.15,0.89,rabbit
-2.98,-0.01,0.58,-0.47,-0.96,-0.15,-1.18,-0.57,-1.11,-0.41,rabbit
0.18,0.01,-0.27,0.59,-0.86,-1.22,0.59,0.61,0.11,0.53,dog
-2.53,1.49,-1.36,-1.51,1.02,0.66,1.82,1.51,-0.09,-0.9,rabbit
1.02,-0.51,-0.21,0.27,-2.14,-0.84,-0.85,0.8,1.58,0.06,cat
0.62,1.4,0.1,-0.35,-0.62,1.08,-0.02,-0.81,0.13,1.04,dog
0.39,-0.35,1.18,-0.64,1.32,0.19,2.57,-0.46,-0.2,0.15,cat
0.36,2.06,1.63,-0.07,2.52,-1.44,0.54,0.54,0.09,1.24,rabbit
-1.16,1.52,-0.56,-2.6,2.71,-1.1,1.31,0.73,0.65,-0.23,rabbit
0.49,-0.76,0.29,-0.56,-1.45,-0.04,-0.91,1.14,-0.04,0.05,dog
-1.36,-0.14,1.15,-1.58,-0.24,-0.27,-0.04,0.38,-0.0,0.36,dog
1.09,-0.08,-0.54,1.78,0.13,-1.45,0.14,-0.43,0.52,0.63,cat
-1.06,0.92,0.35,0.16,0.71,2.34,0.59,-0.55,-0.29,-0.94,cat
-1.11,0.73,-1.06,-0.25,-1.17,-1.9,-2.54,-0.89,0.22,-0.32,rabbit
2.02,-0.59,0.05,0.98,1.03,0.25,-1.19,0.27,1.2,0.72,cat
0.03,-1.61,0.48,-1.58,-0.95,0.63,-0.37,-0.07,0.81,-0.05,dog
0.41,2.18,0.95,-0.32,1.76,1.29,0.03,1.1,-1.14,0.31,rabbit
-0.23,-1.28,0.41,-0.79,1.43,-1.46,0.99,1.26,0.7,-0.68,cat
0.1,0.78,0.26,0.09,0.73,1.09,1.69,1.52,0.58,0.25,cat
-1.49,-1.22,0.01,0.9,-1.42,0.92,-0.05,-0.98,-0.42,-0.4,cat
2.25,-1.2,0.42,0.45,-0.71,-1.64,-1.4,-0.07,0.72,-1.28,rabbit
0.12,0.9,0.3,-0.12,-0.96,0.3,-1.34,2.7,0.83,-1.62,rabbit
0.76,0.15,1.49,0.84,-1.26,1.24,-0.41,-1.32,0.29,-0.31,cat
-0.22,0.28,-0.12,0.69,1.21,-2.21,-1.09,1.07,1.68,1.04,rabbit
-1.94,0.47,1.4,-0.41,-2.19,-1.07,-1.41,0.27,0.73,-1.05,rabbit
0.37,-1.58,-0.4,0.35,2.26,0.82,0.49,-1.13,-0.2,-2.04,rabbit
0.96,0.29,0.68,0.36,0.03,1.63,0.55,0.5,-1.89,-0.04,cat
0.56,-0.44,0.08,3.43,-0.75,-0.59,0.38,-0.02,-0.41,-0.69,rabbit
-0.25,0.56,-0.93,0.95,0.87,0.7,-0.96,0.17,0.19,0.56,dog
-1.44,0.85,0.41,0.33,1.72,1.59,0.24,0.09,0.61,1.17,cat
-3.44,0.59,0.17,-0.14,0.55,-0.77,1.04,0.88,0.03,-0.37,rabbit
-1.17,0.53,0.38,1.55,-1.8,-0.56,-2.24,0.42,-1.02,2.22,rabbit
0.68,-1.11,-0.36,0.51,1.22,-1.94,-0.81,0.05,-0.6,0.86,cat
0.08,-1.0,-0.46,1.17,1.6,-0.34,-0.26,-0.76,-1.53,0.37,cat
-1.13,0.53,-0.76,2.42,1.05,0.16,-1.24,0.46,0.28,-0.49,cat
0.36,0.07,-1.0,-0.82,-0.16,-0.74,-0.01,-0.6,0.32,0.43,dog
-0.28,1.14,1.76,0.01,0.29,-0.17,0.88,1.5,0.93,-1.08,cat
0.08,-1.66,1.46,-1.42,-0.69,-2.2,-0.77,-1.02,0.28,-0.4,rabbit
-0.16,0.69,0.22,-1.69,0.25,0.37,0.95,0.76,0.33,-0.98,dog
0.48,-0.24,0.08,0.92,-0.37,0.92,-0.02,0.27,0.8,1.33,dog
0.2,-2.11,0.07,-0.84,1.26,-0.86,0.3,-2.18,0.51,0.05,rabbit
-1.08,-0.62,0.65,-1.06,0.67,-0.81,-0.61,-0.78,1.63,0.43,cat
-2.43,0.51,0.34,0.12,0.72,0.31,-0.91,0.78,-0.1,0.67,cat
0.11,-1.53,0.8,-0.37,0.13,1.2,0.28,0.26,0.28,-0.73,dog
1.83,1.17,1.36,0.04,-1.15,-0.14,-1.44,0.17,-0.01,-2.2,rabbit
-0.73,-0.51,0.24,0.31,-1.11,2.3,-0.23,0.09,-0.63,-0.26,cat
-0.16,-0.42,-0.35,-2.74,-0.13,-0.87,-0.79,-0.25,-0.44,-0.11,cat
0.42,-0.9,-0.72,1.65,0.01,0.15,0.45,0.34,-0.6,0.63,dog
-0.24,0.31,-0.31,-0.45,1.67,0.9,-0.64,0.49,-0.26,2.05,cat
1.82,0.34,1.12,0.32,0.76,-0.93,-0.31,1.51,0.93,-1.36,rabbit
0.16,1.74,0.12,1.86,-0.96,-1.43,-0.65,-0.98,-0.12,0.28,cat
1.01,-1.45,1.08,1.29,0.99,-0.01,0.42,0.95,-1.73,-0.5,cat
0.5,0.52,-0.41,2.25,-1.1,-0.61,0.57,-0.21,-1.15,1.43,cat
0.31,0.07,1.0,-0.63,0.34,0.29,0.76,-0.07,0.13,-0.07,dog
0.67,1.56,0.16,0.3,-0.46,0.22,1.6,0.04,-0.01,-1.87,cat
0.62,1.05,0.65,1.13,-0.18,-0.65,-1.02,-1.09,0.95,0.34,dog
0.71,0.88,-1.18,-2.25,0.05,-1.04,1.39,-0.49,-0.37,-0.14,cat
-0.47,0.97,-0.47,-0.03,0.11,-0.8,-0.47,-0.39,0.62,-0.77,dog
-1.19,1.47,-0.06,1.15,1.26,-1.22,0.2,1.31,-2.07,-0.2,rabbit
0.26,-0.76,0.4,1.12,0.97,0.6,1.25,0.16,-0.45,0.31,dog
-0.04,0.54,0.36,-0.81,1.18,0.12,-0.22,-0.15,0.94,0.57,dog
1.83,0.69,0.22,-1.24,0.93,1.61,0.68,0.07,-0.75,-0.07,cat
-0.81,0.93,-0.96,0.01,0.95,1.04,0.82,-0.19,-0.19,-0.16,dog
0.92,0.65,-0.55,1.35,0.01,-0.29,-0.33,0.68,0.9,1.92,cat
-1.6,-0.86,0.46,-0.91,-0.83,0.11,0.39,-0.14,-0.06,-1.54,dog
1.3,-0.0,0.96,1.71,-1.23,0.71,-1.07,-1.51,1.58,1.14,rabbit
1.24,0.02,1.55,0.17,1.2,0.03,-0.8,-0.32,1.39,0.01,cat
-0.68,-1.55,-0.11,0.54,0.16,0.99,2.23,-0.59,-0.82,-1.23,rabbit
-0.58,0.83,0.89,0.83,-0.87,-0.03,-1.33,-0.33,-1.33,1.02,cat
-0.48,0.91,-0.89,0.94,-1.39,-0.08,0.01,1.21,-1.83,0.23,cat
0.46,0.0,0.79,-0.47,-0.32,1.07,-1.19,1.81,1.24,0.3,cat
0.33,0.83,0.34,0.23,-2.72,-0.05,0.55,1.61,-0.61,-0.63,rabbit
0.1,1.11,0.29,0.48,1.8,0.19,-0.15,0.19,1.1,-0.21,dog
-0.54,-0.36,-0.41,1.12,2.71,-0.61,1.07,0.38,-0.4,-0.18,cat
-0.1,-0.17,-1.6,-1.78,-0.57,0.7,-0.2,-0.75,0.94,-2.63,rabbit
0.7,-2.32,-0.6,-0.25,-2.04,0.45,1.2,-1.94,-1.56,0.95,rabbit
-0.22,0.69,0.47,0.21,0.45,0.18,-0.88,0.53,-0.64,1.55,dog
1.23,-0.81,-0.31,1.88,0.11,0.91,-0.77,1.69,0.5,-0.25,cat
0.18,2.77,0.78,-1.05,1.43,0.14,0.63,-0.74,1.49,0.6,rabbit
0.12,-0.17,0.5,1.39,0.85,-0.83,-0.97,-0.87,-0.87,-1.04,dog
0.05,-1.27,0.06,0.29,1.24,1.2,-0.6,-0.71,-3.29,0.09,rabbit
-0.28,0.88,0.14,1.21,0.31,0.04,-1.32,-0.72,-1.05,-0.15,dog
1.21,-0.38,-0.26,0.83,0.1,-0.05,-0.46,0.4,0.55,-0.55,dog
2.65,0.7,-0.08,-0.47,1.61,2.74,-0.64,-1.51,1.86,-0.62,rabbit
0.16,-0.12,0.39,0.72,1.29,-0.12,-2.28,-0.07,0.35,-0.19,cat
0.19,-0.11,-0.95,-0.31,1.05,0.03,0.83,0.19,-1.3,-0.44,dog
1.67,-0.95,-0.01,-1.94,1.53,-0.65,-1.27,-0.23,-1.28,1.6,rabbit
0.76,-0.08,0.75,-0.03,1.67,0.13,-0.42,-0.15,0.78,0.0,dog
1.46,-2.06,-0.32,-0.38,1.13,-1.1,-0.17,-0.88,0.04,0.58,cat
1.87,-1.04,-1.19,-1.42,-0.29,-1.05,-1.59,0.26,-0.48,0.33,rabbit
1.33,-0.35,0.97,1.04,-0.03,-0.01,-0.85,-0.32,-1.63,0.68,cat
-1.03,-0.27,-1.98,-0.59,0.85,1.63,0.28,1.64,0.41,0.19,rabbit
-0.79,-0.46,0.01,-0.15,-1.0,0.13,0.38,-0.32,2.54,-1.54,cat
0.07,-0.73,0.09,-0.99,0.98,0.53,-0.15,0.05,-1.18,0.13,dog
1.39,0.3,0.69,0.33,3.01,-1.1,-0.77,-0.71,1.71,0.48,rabbit
0.37,1.57,0.28,-0.95,1.82,0.52,-1.06,2.9,1.58,0.96,rabbit
0.57,1.45,0.02,0.57,-0.29,-0.42,-0.38,0.42,-1.4,0.1,dog
0.97,0.34,-0.19,-0.73,0.57,0.21,0.02,0.54,0.26,-1.08,dog
-0.18,-0.01,-0.74,-0.44,-1.32,-0.84,1.55,-0.16,-0.57,0.13,dog
-0.45,0.08,0.29,0.79,0.11,-0.89,0.88,-0.79,0.53,1.8,dog
0.09,1.49,-0.17,0.34,-0.59,-0.8,-0.06,-0.58,-0.28,-1.5,dog
-0.44,1.21,-1.06,-2.4,-0.1,-0.29,-0.24,0.84,0.93,-1.55,rabbit
0.3,0.66,0.04,-1.11,0.57,-1.29,3.15,-0.49,1.52,-1.54,rabbit
-0.64,1.19,-0.12,-1.6,0.83,-0.84,1.31,-0.66,0.77,1.26,cat
-0.38,0.26,-0.77,0.8,-0.24,-0.13,-0.31,-0.73,0.6,-0.08,dog
-0.14,0.14,0.31,0.77,0.58,1.79,-0.02,1.49,-0.32,0.56,dog
1.69,-0.69,-0.57,2.03,-0.57,0.59,1.02,0.91,0.27,0.78,cat
-0.61,0.76,-0.05,-0.9,-0.88,0.32,1.11,-0.13,1.14,1.34,dog
-0.42,0.43,-0.03,0.8,0.85,-0.53,1.15,1.01,1.54,-0.9,dog
-0.49,0.41,1.49,0.03,0.76,-0.79,-0.15,1.12,1.4,0.63,dog
2.14,-2.51,-0.96,0.04,0.59,-2.15,1.77,0.4,-0.84,-1.04,rabbit
